12	13
12	14
12	15
12	16
12	17
12	18
12	20

12	22

12	24
12	31
12	38
12	41
12	47


13	12
13	14
13	15
13	16
13	17
13	18
13	20

13	22

13	31
13	38

14	12
14	13
14	15
14	17
14	18

14	22

14	31
14	38
14	47


15	12
15	13
15	14
15	16
15	17
15	18
15	20

15	22

15	24
15	31
15	38
15	47

17	12
17	13
17	14
17	15
17	16
17	18
17	20

17	22

17	31
17	38
17	47

18	12
18	13
18	14
18	15
18	16
18	17
18	20

18	22

18	31
18	47
18	53
18	57


20	12
20	13
20	14
20	15
20	16
20	17
20	18

20	22

20	24
20	31
20	34
20	38
20	47



34	14

34	47



38	12
38	14
38	15
38	16
38	17

38	22

38	31
38	61


41  12
47	15
47	16
47	17
47	18

47	22






